Part number,Part name,Location,Price,Balance,Unit,Value,WH
211732,BOA SQ70 CC630,010601,"1,993.02",1.00,Pcs,"1,993.02",STD
211739,SQ60-5 cc460 front cover plate,030201,43.01,1.00,Pcs,43.01,STD
211740,Front cover plate SQ70,030201,70.00,2.00,Pcs,140.00,STD
211771,"Male Unit 1/2"" short BSP SQ60/65",810305,47.50,12.00,Pcs,570.00,STD
211772,"Male Unit 1/2"" short ORFS SQ60",810305,49.22,25.00,Pcs,"1,230.50",STD
211783,"Male Unit 1/2"" long BSP SQ60/65",050202,70.49,3.00,Pcs,211.47,STD
211784,"Male Unit 1/2"" long ORFS SQ60",050202,58.25,10.00,Pcs,582.50,STD
211801,"Male Unit 1/2"" short BSP SQ70/90",810305,49.41,1.00,Pcs,49.41,STD
211802,"Male Unit 1/2"" short ORFS SQ70-90",810305,49.43,66.00,Pcs,"3,262.38",STD
211809,"Male Unit 1/2"" Long BSP SQ70/70-55",050202,73.03,2.00,Pcs,146.06,STD
211810,"Male Unit 1/2"" Long ORFS SQ70/70-55",050202,62.07,6.00,Pcs,372.42,STD
